,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,phosphorus,X1,X2,X3,X4
862,CHHATTISGARH,raigarh,2009,kharif,Rice,240135,277370,1,296840,312306,978.2,1513.9
863,CHHATTISGARH,raigarh,2010,kharif,Rice,240388,336652,1,277370,296840,988.3,978.2
870,CHHATTISGARH,raipur,2002,kharif,Rice,516328,386465,0,616749,208356,1051.585,1217.079
873,CHHATTISGARH,raipur,2005,kharif,Rice,518561,804924,0,626563,711370,1348,939.2
874,CHHATTISGARH,raipur,2006,kharif,Rice,534394,785967,0,804924,626563,1206.7,1348
875,CHHATTISGARH,raipur,2007,kharif,Rice,539878,805433,0,785967,804924,1434.2,1206.7
876,CHHATTISGARH,raipur,2008,kharif,Rice,529148,691851,0,805433,785967,1114.5,1434.2
877,CHHATTISGARH,raipur,2009,kharif,Rice,521918,753589,0,691851,805433,948.3,1114.5
878,CHHATTISGARH,raipur,2010,kharif,Rice,545965,771395,0,753589,691851,1109.1,948.3
885,CHHATTISGARH,rajnandgaon,2002,kharif,Rice,254729,193529,1,296457,210646,1082.165,1274.509
888,CHHATTISGARH,rajnandgaon,2005,kharif,Rice,261961,357964,1,291457,357731,1568.8,1023.1
889,CHHATTISGARH,rajnandgaon,2006,kharif,Rice,265967,357973,1,357964,291457,1127.6,1568.8
890,CHHATTISGARH,rajnandgaon,2007,kharif,Rice,268022,290436,1,357973,357964,769.8,1127.6
891,CHHATTISGARH,rajnandgaon,2008,kharif,Rice,271256,211856,1,290436,357973,812.7,769.8
892,CHHATTISGARH,rajnandgaon,2009,kharif,Rice,269249,210540,1,211856,290436,734.9,812.7
893,CHHATTISGARH,rajnandgaon,2010,kharif,Rice,274412,438569,1,210540,211856,1221.9,734.9
911,CHHATTISGARH,surguja,2005,kharif,Rice,312299,341368,1,299182,404374,1120.1,971.6
912,CHHATTISGARH,surguja,2006,kharif,Rice,313914,345995,1,341368,299182,1186.3,1120.1
913,CHHATTISGARH,surguja,2007,kharif,Rice,311757,380351,1,345995,341368,1153.4,1186.3
914,CHHATTISGARH,surguja,2008,kharif,Rice,311848,365590,1,380351,345995,1119.6,1153.4
915,CHHATTISGARH,surguja,2009,kharif,Rice,307674,221619,1,365590,380351,616.8,1119.6
916,CHHATTISGARH,surguja,2010,kharif,Rice,302922,323612,1,221619,365590,596.7,616.8
963,GUJARAT,ahmadabad,2000,kharif,Rice,84100,37500,1,78900,72600,494.019,486.758
964,GUJARAT,ahmadabad,2001,kharif,Rice,82000,144300,1,37500,78900,554.507,494.019
965,GUJARAT,ahmadabad,2002,kharif,Rice,47500,39300,1,144300,37500,336.837,554.507
978,GUJARAT,amreli,2001,kharif,Rice,100,100,1,100,100,743.828,567.964
981,GUJARAT,anand,2005,kharif,Rice,82300,178500,1,175100,142700,1518.1,771.3
982,GUJARAT,anand,2006,kharif,Rice,72400,125200,1,178500,175100,1049.7,1518.1
983,GUJARAT,anand,2007,kharif,Rice,86100,200300,1,125200,178500,898.1,1049.7
984,GUJARAT,anand,2008,kharif,Rice,88200,174400,1,200300,125200,760.2,898.1
985,GUJARAT,anand,2009,kharif,Rice,75200,192700,1,174400,200300,357.1,760.2
986,GUJARAT,anand,2010,kharif,Rice,87700,185200,1,192700,174400,863.5,357.1
991,GUJARAT,bharuch,2000,kharif,Rice,27900,17600,0,23700,25200,873.82,907.249
992,GUJARAT,bharuch,2001,kharif,Rice,24200,25200,0,17600,23700,932.744,873.82
993,GUJARAT,bharuch,2002,kharif,Rice,23700,24200,0,25200,17600,659.664,932.744
1006,GUJARAT,bhavnagar,2002,kharif,Rice,100,100,0,200,200,551.186,835.264
1034,GUJARAT,gandhinagar,2000,kharif,Rice,7600,17100,1,24000,15600,595.1,548
1035,GUJARAT,gandhinagar,2001,kharif,Rice,7000,17500,1,17100,24000,613.1,595.1
1036,GUJARAT,gandhinagar,2002,kharif,Rice,4600,9900,1,17500,17100,353.7,613.1
1039,GUJARAT,gandhinagar,2005,kharif,Rice,10000,27200,1,29100,35200,1410.7,758.7
1040,GUJARAT,gandhinagar,2006,kharif,Rice,11300,25600,1,27200,29100,1055.8,1410.7
1041,GUJARAT,gandhinagar,2007,kharif,Rice,12800,32000,1,25600,27200,1101.4,1055.8
1042,GUJARAT,gandhinagar,2008,kharif,Rice,12800,26900,1,32000,25600,740.4,1101.4
1043,GUJARAT,gandhinagar,2009,kharif,Rice,10600,22200,1,26900,32000,510.1,740.4
1044,GUJARAT,gandhinagar,2010,kharif,Rice,16000,36900,1,22200,26900,921.2,510.1
1050,GUJARAT,kheda,2000,kharif,Rice,112500,73400,1,363900,286400,626.616,603.653
1051,GUJARAT,kheda,2001,kharif,Rice,171800,308400,1,73400,363900,629.335,626.616
1052,GUJARAT,kheda,2002,kharif,Rice,71200,93500,1,308400,73400,415,629.335
1055,GUJARAT,kheda,2005,kharif,Rice,89700,218500,1,223900,198900,1138.7,830.6
1056,GUJARAT,kheda,2006,kharif,Rice,92400,169300,1,218500,223900,1412.5,1138.7
1057,GUJARAT,kheda,2007,kharif,Rice,99800,237400,1,169300,218500,1143.9,1412.5
1058,GUJARAT,kheda,2008,kharif,Rice,101100,211600,1,237400,169300,758.1,1143.9
1059,GUJARAT,kheda,2009,kharif,Rice,87100,201300,1,211600,237400,450.9,758.1
1060,GUJARAT,kheda,2010,kharif,Rice,87300,210500,1,201300,211600,847,450.9
1065,GUJARAT,mahesana,2000,kharif,Rice,10200,7100,0,17200,22200,538.733,498.522
1066,GUJARAT,mahesana,2001,kharif,Rice,12600,23600,0,7100,17200,600.555,538.733
1067,GUJARAT,mahesana,2002,kharif,Rice,3700,5300,0,23600,7100,314.315,600.555
1080,GUJARAT,narmada,2005,kharif,Rice,10800,8600,0,11400,10800,1154,1074
1081,GUJARAT,narmada,2006,kharif,Rice,13000,9700,0,8600,11400,1492.5,1154
1082,GUJARAT,narmada,2007,kharif,Rice,13600,11600,0,9700,8600,1356.2,1492.5
1083,GUJARAT,narmada,2008,kharif,Rice,15200,13700,0,11600,9700,1102.8,1356.2
1084,GUJARAT,narmada,2009,kharif,Rice,15000,8200,0,13700,11600,789.2,1102.8
1085,GUJARAT,narmada,2010,kharif,Rice,12000,10500,0,8200,13700,912.9,789.2
1090,GUJARAT,navsari,2005,kharif,Rice,34900,87400,0,92200,102900,2969.2,2078
1091,GUJARAT,navsari,2006,kharif,Rice,35900,81800,0,87400,92200,2098.6,2969.2
1092,GUJARAT,navsari,2007,kharif,Rice,44800,112500,0,81800,87400,1737,2098.6
1093,GUJARAT,navsari,2008,kharif,Rice,46300,111200,0,112500,81800,2195.8,1737
1094,GUJARAT,navsari,2009,kharif,Rice,59900,149000,0,111200,112500,1486.4,2195.8
1095,GUJARAT,navsari,2010,kharif,Rice,62600,161300,0,149000,111200,1982,1486.4
1100,GUJARAT,panch mahals,2000,kharif,Rice,91200,9800,0,40100,104200,702.001,740.001
1101,GUJARAT,panch mahals,2001,kharif,Rice,84900,20600,0,9800,40100,720.499,702.001
1102,GUJARAT,panch mahals,2002,kharif,Rice,86200,26300,0,20600,9800,546.936,720.499
1115,GUJARAT,sabar kantha,2000,kharif,Rice,15000,15500,1,69000,51800,658.746,628.378
1116,GUJARAT,sabar kantha,2001,kharif,Rice,17000,26700,1,15500,69000,703.136,658.746
1117,GUJARAT,sabar kantha,2002,kharif,Rice,8700,14000,1,26700,15500,403.727,703.136
1130,GUJARAT,surat,2000,kharif,Rice,70600,117000,1,143100,166400,934.914,1000.858
1131,GUJARAT,surat,2001,kharif,Rice,83500,167000,1,117000,143100,973.507,934.914
1132,GUJARAT,surat,2002,kharif,Rice,73500,137200,1,167000,117000,758.207,973.507
1135,GUJARAT,surat,2005,kharif,Rice,68300,131200,1,141000,154800,2610.7,1962.9
1136,GUJARAT,surat,2006,kharif,Rice,72600,144200,1,131200,141000,2014.8,2610.7
1137,GUJARAT,surat,2007,kharif,Rice,80500,154900,1,144200,131200,1572.4,2014.8
1138,GUJARAT,surat,2008,kharif,Rice,58400,124300,1,154900,144200,1622,1572.4
1139,GUJARAT,surat,2009,kharif,Rice,54600,130300,1,124300,154900,1308.3,1622
1140,GUJARAT,surat,2010,kharif,Rice,60700,124000,1,130300,124300,1570.9,1308.3
1145,GUJARAT,surendranagar,2000,kharif,Rice,700,400,0,1000,300,537.135,511.191
1146,GUJARAT,surendranagar,2001,kharif,Rice,800,1200,0,400,1000,650.503,537.135
1147,GUJARAT,surendranagar,2002,kharif,Rice,600,600,0,1200,400,327.115,650.503
